epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,165.748,0.8058,0.64709,1.21282,0.96101,0.92857,0.91959,0.67784,1.09583,0.56462,2.08397,0.000115462,0.000115462,0.000115462
36,170.226,0.69746,0.52732,1.18001,0.96121,0.92857,0.92464,0.67912,1.10952,0.56136,2.15166,0.000111348,0.000111348,0.000111348
37,174.719,0.75252,0.5661,1.25392,0.96129,0.92857,0.92774,0.65093,1.13199,0.56813,2.23361,0.000107216,0.000107216,0.000107216
38,179.122,0.6593,0.5241,1.17793,0.9613,0.92857,0.92717,0.64002,1.14248,0.59296,2.2489,0.000103073,0.000103073,0.000103073
39,183.493,0.64629,0.49364,1.11815,0.96143,0.92857,0.92472,0.63637,1.13381,0.61708,2.21577,9.89267e-05,9.89267e-05,9.89267e-05
40,187.905,0.7231,0.54374,1.1929,0.9617,0.92857,0.92038,0.64609,1.09283,0.59528,2.17618,9.47837e-05,9.47837e-05,9.47837e-05
41,192.92,0.70233,0.50998,1.19822,0.9618,0.92857,0.91928,0.65658,1.0858,0.59649,2.18824,9.06517e-05,9.06517e-05,9.06517e-05
42,201.282,0.6525,0.48816,1.12602,0.96187,0.92857,0.91039,0.66784,1.05381,0.59579,2.12765,8.65378e-05,8.65378e-05,8.65378e-05
43,208.643,0.63849,0.50854,1.16698,0.96204,0.92857,0.91604,0.68262,1.04213,0.59731,2.10115,8.24492e-05,8.24492e-05,8.24492e-05
44,213.103,0.75699,0.55351,1.23547,0.96246,0.92857,0.92426,0.69321,1.04776,0.59193,2.10288,7.83933e-05,7.83933e-05,7.83933e-05
45,217.564,0.70206,0.52143,1.16539,0.95982,0.91071,0.92587,0.69529,1.05632,0.5872,2.1225,7.43769e-05,7.43769e-05,7.43769e-05
